2019 October 16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,P,Polarity,P arrival,S,S arrival,Amplitude,    Time Duration,Type,Freq,,,,,,,,,,,,,,,,,
KCP,iP,c,000827.07,iS,000832.83,,63.50,L,,,,,,,,,,,,,,,,,,
SNP,iP,d,001910.35,iS,001917.95,623.0,33.0,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,003828.64,eS,003837.75,,47.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,c,005900.49,iS,005933.04,81.47,141.51,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,005904.36,iS,005911.53,,112.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,005929.80,,,,,sL,,,,,,,,,,,,,,,,,,
CGP,eP,,005951.78,,,,,sL,,,,,,,,,,,,,,,,,,
BIP,iP,c,012325.80,eS,012334.79,,29.00,L,,,,,,,,,,,,,,,,,,
SCP,eP,c,012840.36,eS,012910.84,117846.00,58.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,022513.01,iS,022523.51,,56.00,L,,,,,,,,,,,,,,,,,,
TBP,eP,,035101.02,eS,035105.07,207.0,120.0,L,,,,,,,,,,,,,,,,,,
PGP,iP,d,054903.61,iS,054917.83,,68,L,,,,,,,,,,,,,,,,,,
TGY,eP,d,054914.35,,,,,sL,,,,,,,,,,,,,,,,,,
LQP,eP,d,054920.84,,,,,sL,,,,,,,,,,,,,,,,,,
PGP,eP,D,065812.69,eS,065825.23,,30,L,,,,,,,,,,,,,,,,,,
LQP,eP,d,065815.24,,,,,sL,,,,,,,,,,,,,,,,,,
BIP,iP,d,072537.51,iS,072543.94,,34.00,L,,,,,,,,,,,,,,,,,,
PGP,eP,d,073544.98,eS,073558.17,,43,L,,,,,,,,,,,,,,,,,,
SIP,eP,c,081425.78,eS,081432.80,1218,1507,L,,,,,,,,,,,,,,,,,,
TBP,eP,,082220.18,iS,082223.97,512.0,180.0,L,,,,,,,,,,,,,,,,,,
SNP,iP,d,082227.69,iS,082236.68,700.0,41.0,L,,,,,,,,,,,,,,,,,,
TBP,iP,d,085513.98,iS,085517.72,1926.0,240.0,L,,,,,,,,,,,,,,,,,,
LLP,eP,,085520.93,iS,085531.30,1550.5,71.55,L,,,,,,,,,,,,,,,,,,
SNP,iP,d,085521.40,iS,085531.02,1951.0,44.0,L,,,,,,,,,,,,,,,,,,
SIP,eP,c,101238.93,eS,101248.48,38882,1619,L,,,,,,,,,,,,,,,,,,
PIP,iP,c,101240.47,iS,101250.96,,180,L,,,,,,,,,,,,,,,,,,
PCP,eP,d,101306.54,eS,101335.82,359,69.47,L,,,,,,,,,,,,,,,,,,
TGY,eP,c,101326.55,,,,,sL,,,,,,,,,,,,,,,,,,
LQP,eP,d,101326.81,,,375,209.86,L,,,,,,,,,,,,,,,,,,
TBP,iP,c,103042.45,iS,103048.31,4103.0,300.0,L,,,,,,,,,,,,,,,,,,
LLP,eP,d,103044.67,iS,103051.20,2414.8,61.33,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,103105.24,eS,103124.41,,63.0,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,113710.82,iS,113715.88,54233915.00,301.37,L,,,,,,,,,,,,,,,,,,
PICP,eP,d,113713.69,eS,113720.08,,561,L,,,,,,,,,,,,,,,,,,
VGLA,eP,c,113714.73,eS,113724.30,8388607,369,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,113716.46,iS,113723.51,46031.00,363.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,113720.11,iS,113736.25,,415.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,113720.57,iS,113733.18,,591.00,L,,,,,,,,,,,,,,,,,,
VGAM,eP,c,113721.39,eS,113736.41,-1219562,450,L,,,,,,,,,,,,,,,,,,
DDMP,eP,d,113723.47,eS,113738.94,,444,L,,,,,,,,,,,,,,,,,,
BUKP,eP,c,113724.15,eS,113739.56,-1105478,368,L,,,,,,,,,,,,,,,,,,
MATI,eP,d,113726.96,eS,113742.44,2529596,475,L,,,,,,,,,,,,,,,,,,
LCVP,eP,c,113728.77,iS,113748.43,2842631,462,L,,,,,,,,,,,,,,,,,,
MARP,eP,c,113730.45,eS,113749.87,1401822,428,L,,,,,,,,,,,,,,,,,,
BLNP,eP,c,113734.33,eS,113757.44,1725727,555,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,113734.72,iS,113756.63,O.S,309.00,L,,,,,,,,,,,,,,,,,,
CDOP,iP,d,113735.09,eS,113758.44,-1234154,474,L,,,,,,,,,,,,,,,,,,
PAGZ,eP,d,113737.08,eS,113800.30,-992152,472,L,,,,,,,,,,,,,,,,,,
TASP,eP,c,113738.04,eS,113805.39,5534702,463,L,,,,,,,,,,,,,,,,,,
BIP,iP,d,113738.33,iS,113816.11,Offscale,317.00,L,,,,,,,,,,,,,,,,,,
BUTP,eP,c,113743.50,eS,113818.24,146685,417,L,,,,,,,,,,,,,,,,,,
DCPB,eP,c,113744.63,eS,113818.60,815301,541,L,,,,,,,,,,,,,,,,,,
TSSP,eP,c,113746.21,eS,113818.54,787111,547,L,,,,,,,,,,,,,,,,,,
IPIL,eP,d,113747.63,eS,113822.54,,472,L,,,,,,,,,,,,,,,,,,
LSIP,eP,c,113749.00,eS,113823.71,426479,519,L,,,,,,,,,,,,,,,,,,
GHBP,eP,c,113750.70,eS,113831.22,650713,581,L,,,,,,,,,,,,,,,,,,
SCP,eP,c,113751.51,,,40892360.00,1911.49,L,,,,,,,,,,,,,,,,,,
ZCP,iP,d,113752.04,iS,113825.69,347133.00,257.09,L,,,,,,,,,,,,,,,,,,
TBP,iP,c,113753.67,iS,113834.08,"630,574.0",970.0,L,,,,,,,,,,,,,,,,,,
GLSP,eP,c,113754.72,eS,113835.54,-604677,571,L,,,,,,,,,,,,,,,,,,
SNP,eP,c,113755.33,eS,113844.39,82931.0,898.0,L,,,,,,,,,,,,,,,,,,
TABP,eP,c,113756.68,eS,113829.30,-317516,454,L,,,,,,,,,,,,,,,,,,
MSLP,eP,c,113756.80,eS,113844.78,-11695,484,L,,,,,,,,,,,,,,,,,,
DACP,eP,c,113756.92,eS,113844.57,343182,506,L,,,,,,,,,,,,,,,,,,
LDIP,eP,c,113800.59,eS,113848.76,-227679,435,L,,,,,,,,,,,,,,,,,,
LLP,eP,c,113801.77,eS,113850.48,105541.9,ML5.6,L,,,,,,,,,,,,,,,,,,
GNOP,eP,c,113804.02,eS,113848.49,252465,555,L,,,,,,,,,,,,,,,,,,
CNOP,eP,c,113804.33,eS,113859.31,-360470,557,L,,,,,,,,,,,,,,,,,,
SFCP,eP,c,113804.82,eS,113850.00,307470,559,L,,,,,,,,,,,,,,,,,,
VKCH,eP,c,113806.75,eS,113909.80,-5977,439,L,,,,,,,,,,,,,,,,,,
OCLP,eP,c,113810.91,eS,113908.52,-7394,416,L,,,,,,,,,,,,,,,,,,
PLP,iP,c,113811.06,eS,113906.10,,428.00,L,,,,,,,,,,,,,,,,,,
CADP,eP,c,113812.23,eS,113917.44,339959,484,L,,,,,,,,,,,,,,,,,,
MECP,eP,c,113812.65,eS,113925.77,170914,435,L,,,,,,,,,,,,,,,,,,
GUIM,eP,c,113813.15,eS,113917.99,173094,419,L,,,,,,,,,,,,,,,,,,
BESP,eP,c,113818.25,eS,113923.73,,318,L,,,,,,,,,,,,,,,,,,
JAP,eP,c,113823.72,,,3457.0,485.71,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,113824.96,,,,,T,,,,,,,,,,,,,,,,,,
BTTP,eP,d,113827.13,eS,113931.71,-48227,284,L,,,,,,,,,,,,,,,,,,
CNPS,eP,d,113832.21,eS,113946.29,4702,334,L,,,,,,,,,,,,,,,,,,
MMP,eP,d,113833.09,iS,113913.91,32125.0,224.00,L,,,,,,,,,,,,,,,,,,
IAPS,eP,d,113833.77,,,,523,L,,,,,,,,,,,,,,,,,,
VBIH,eP,c,113834.14,eS,114015.57,-61236,399,T,,,,,,,,,,,,,,,,,,
OTRP,eP,d,113839.37,,,750,346,L,,,,,,,,,,,,,,,,,,
VMAN,eP,c,113841.28,eS,114009.32,117773,464,T,,,,,,,,,,,,,,,,,,
SJMP,eP,c,113844.45,,,825,385,L,,,,,,,,,,,,,,,,,,
SCSP,eP,c,113846.34,eS,114041.53,84787,321,T,,,,,,,,,,,,,,,,,,
PVCP,eP,d,113848.25,eS,114025.31,-173392,530,T,,,,,,,,,,,,,,,,,,
BUSP,eP,d,113849.55,eS,114017.82,-154,289,T,,,,,,,,,,,,,,,,,,
BATP,eP,d,113852.97,eS,114015.91,,235,T,,,,,,,,,,,,,,,,,,
AUQP,eP,c,113855.33,,,-1817,282,L,,,,,,,,,,,,,,,,,,
GQP,eP,c,113856.92,iS,113925.38,1.19E08,355,L,,,,,,,,,,,,,,,,,,
JCNP,eP,c,113858.21,eS,114038.41,47925,364,T,,,,,,,,,,,,,,,,,,
AIQP,eP,c,113901.10,eS,114054.78,-48089,410,T,,,,,,,,,,,,,,,,,,
VTAG,eP,c,113905.62,eS,114100.50,-28897,396,T,,,,,,,,,,,,,,,,,,
LQP,eP,d,113905.73,,,6615,795,L,,,,,,,,,,,,,,,,,,
LBLP,eP,c,113906.40,eS,114058.87,62403,262,T,,,,,,,,,,,,,,,,,,
PAKP,eP,c,113907.86,eS,114051.59,42535,,T,,,,,,,,,,,,,,,,,,
LUBP,eP,c,113908.31,eS,114103.94,39565,365,T,,,,,,,,,,,,,,,,,,
TGY,eP,c,113908.40,,,,,T,,,,,,,,,,,,,,,,,,
TIRP,eP,c,113908.51,eS,114108.63,44867,494,T,,,,,,,,,,,,,,,,,,
MACP,eP,c,113910.65,eS,114104.60,43236,375,T,,,,,,,,,,,,,,,,,,
GNQP,eP,c,113911.60,eS,114054.70,-42907,359,T,,,,,,,,,,,,,,,,,,
POLP,eP,d,113912.07,,,682,137,L,,,,,,,,,,,,,,,,,,
RTBP,eP,c,113917.17,eS,114103.21,27897,480,T,,,,,,,,,,,,,,,,,,
QVPS,eP,c,113918.16,,,-3131,151,L,,,,,,,,,,,,,,,,,,
ABPP,eP,c,113919.15,eS,114114.24,34753,380,T,,,,,,,,,,,,,,,,,,
PCP,eP,d,113927.17,,,,,L,,,,,,,,,,,,,,,,,,
IBZP,eP,c,113929.23,eS,114142.55,41906,471,T,,,,,,,,,,,,,,,,,,
SCZP,eP,c,113937.61,,,1184,230,L,,,,,,,,,,,,,,,,,,
PALP,eP,c,113938.07,,,-619,281,L,,,,,,,,,,,,,,,,,,
CAUP,eP,d,113939.33,,,1142,449,L,,,,,,,,,,,,,,,,,,
BOLP,eP,d,113943.78,,,,236,L,,,,,,,,,,,,,,,,,,
SAMP,eP,c,113944.23,eS,114248.97,-53064,525,T,,,,,,,,,,,,,,,,,,
CVPS,eP,d,113948.59,,,1204,365,L,,,,,,,,,,,,,,,,,,
ABRA,eP,d,113953.52,,,716,347,L,,,,,,,,,,,,,,,,,,
SGCP,eP,c,113956.54,,,,,T,,,,,,,,,,,,,,,,,,
PACP,eP,c,113958.95,eS,114229.56,-26112,,T,,,,,,,,,,,,,,,,,,
SIP,eP,c,114000.28,,,,,L,,,,,,,,,,,,,,,,,,
PIP,eP,c,114006.11,,,,,Tele,,,,,,,,,,,,,,,,,,
CICP,eP,c,114008.56,eS,114320.05,-19357,,T,,,,,,,,,,,,,,,,,,
BBPS,eP,c,114021.55,eS,114404.95,27555,,T,,,,,,,,,,,,,,,,,,
KCP,eP,c,114314.54,iS,114320.67,,44.57,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114319.63,iS,114326.15,85637.00,85.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114320.49,iS,114324.58,,56.13,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114437.93,iS,114441.59,,31.44,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114444.46,,,,,s,,,,,,,,,,,,,,,,,,
KCP,iP,c,114509.31,iS,114513.16,,50.11,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114512.52,iS,114524.10,93860.00,71.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,114518.75,iS,114533.87,,88.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114603.66,iS,114607.55,,33.90,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114637.79,iS,114641.56,,22.11,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114643.46,iS,114652.14,77485.00,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,114706.11,iS,114711.15,,25.63,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114712.32,iS,114721.34,39722.00,99.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,114716.31,iS,114735.43,,105.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,114726.00,iS,114752.14,1465.00,98.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114732.35,iS,114736.40,,65.14,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,114846.23,iS,114904.92,25814.00,111.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,114854.59,iS,114858.36,,108.65,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,114917.27,eS,114917.27,422.00,87.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115121.98,iS,115126.45,,24.02,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,115127.92,eS,115152.97,15421.00,100.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115146.63,iS,115150.78,139398.00,76.55,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,115156.59,iS,115208.15,,184.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,115156.97,iS,115209.28,,80.00,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,115208.97,iS,115230.32,1164.00,137.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,115213.63,eS,115238.44,10963.00,180.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115244.34,,,,37.00,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,115245.95,,,,152.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115307.09,iS,115310.64,,73.56,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,115311.91,iS,115319.68,5289.00,84.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,115317.22,iS,115324.73,,101.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115428.70,iS,115432.44,,31.29,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,115512.66,iS,115514.96,,27.43,L,,,,,,,,,,,,,,,,,,
DMP,iP,c,115520.24,iS,115529.59,2035.00,,sL,,,,,,,,,,,,,,,,,,
DMP,iP,c,115553.47,iS,115605.07,12404.00,,sL,,,,,,,,,,,,,,,,,,
DMP,iP,c,115730.78,iS,115739.66,15798.00,74.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,115750.65,eS,115812.59,134.00,79.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,120021.17,iS,120025.52,33638.00,91.57,L,,,,,,,,,,,,,,,,,,
DMP,iP,c,120025.49,iS,120035.83,6907.00,95.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,120031.63,iS,120043.06,,166.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,d,120032.01,iS,120044.11,,86.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,120044.95,iS,120105.59,566.00,107.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,120050.45,eS,120015.76,,117.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120154.52,,,,,sL,,,,,,,,,,,,,,,,,,
KCP,iP,c,120155.20,iS,120159.24,5219.00,48.59,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,120325.03,iS,120329.85,,40.40,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120329.27,iS,120338.08,25814.00,,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,120333.71,iS,120346.25,,50.00,L,,,,,,,,,,,,,,,,,,
KCP,eP,d,120405.64,iS,120415.19,,83.30,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120412.12,eS,120420.32,7305.00,89.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,120424.81,,,,72.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,120433.57,iS,120500.11,473.00,88.00,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120556.23,eS,120606.71,3921.00,81.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,120559.99,iS,120603.71,,99.50,L,,,,,,,,,,,,,,,,,,
CTB,iP,c,120611.33,iS,120623.12,,67.00,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,120612.05,iS,120627.04,,96.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,120623.40,iS,120644.94,563.00,94.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,120627.38,eS,120651.42,,FBAQ,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120738.02,iS,120758.73,17028.00,102.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,120739.78,iS,120744.04,,92.46,L,,,,,,,,,,,,,,,,,,
GSP,iP,d,120750.39,iS,120803.57,,116.00,L,,,,,,,,,,,,,,,,,,
CTB,iP,c,120750.67,iS,12080245,,65.00,L,,,,,,,,,,,,,,,,,,
CGP,eP,c,120803.25,iS,120825.18,466.00,111.00,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,120806.47,eS,120830.29,,FBAQ,L,,,,,,,,,,,,,,,,,,
DMP,eP,c,120922.42,iS,120942.64,51069.00,265.00,L,,,,,,,,,,,,,,,,,,
KCP,iP,c,120935.77,iS,120940.09,1681231.00,128.47,L,,,,,,,,,,,,,,,,,,
PICP,eP,c,120939.43,eS,120946.20,2198306,410,L,,,,,,,,,,,,,,,,,,
VGLA,eP,c,120940.38,eS,120950.13,1905177,247,L,,,,,,,,,,,,,,,,,,
GSP,iP,c,120945.71,iS,121005.17,,267.00,L,,,,,,,,,,,,,,,,,,
CTB,eP,d,120946.52,iS,120958.03,,211.00,L,,,,,,,,,,,,,,,,,,
DDMP,eP,c,120949.13,eS,121003.50,-735282,247,L,,,,,,,,,,,,,,,,,,
BUKP,eP,c,120949.87,eS,121005.21,118661,393,L,,,,,,,,,,,,,,,,,,
MATI,eP,d,120952.83,eS,121007.36,-367895,409,L,,,,,,,,,,,,,,,,,,
LCVP,eP,c,120954.87,eS,121013.57,202155,427,L,,,,,,,,,,,,,,,,,,
MARP,eP,c,120955.88,eS,121016.27,-163691,235,L,,,,,,,,,,,,,,,,,,
CGP,iP,c,120959.70,iS,121023.75,60549.00,FBAQ,L,,,,,,,,,,,,,,,,,,
BLNP,eP,c,120959.70,eS,121023.09,-216202,422,L,,,,,,,,,,,,,,,,,,
CDOP,eP,d,121000.77,eS,121024.01,137779,400,L,,,,,,,,,,,,,,,,,,
BIP,eP,c,121003.63,eS,121231.24,Offscale,245.00,L,,,,,,,,,,,,,,,,,,
TASP,eP,c,121004.00,eS,121032.04,-427601,400,L,,,,,,,,,,,,,,,,,,
PAGZ,eP,c,121004.01,eS,121025.22,-143126,438,L,,,,,,,,,,,,,,,,,,
BUTP,eP,c,121009.82,eS,121043.21,-12190,393,L,,,,,,,,,,,,,,,,,,
TSSP,eP,c,121012.13,eS,121043.76,65248,423,L,,,,,,,,,,,,,,,,,,
DCP,iP,d,121012.37,iS,121049.44,,412.89,L,,,,,,,,,,,,,,,,,,
IPIL,eP,d,121013.42,eS,121046.39,-6097,210,L,,,,,,,,,,,,,,,,,,
LSIP,eP,c,121014.36,eS,121052.94,-56380,385,L,,,,,,,,,,,,,,,,,,
GHBP,eP,c,121016.59,eS,121105.80,52105,443,L,,,,,,,,,,,,,,,,,,
ZCP,iP,d,121017.78,iS,121053.37,12658.00,226.05,L,,,,,,,,,,,,,,,,,,
SCP,eP,d,121017.91,,,6581151.00,467.04,L,,,,,,,,,,,,,,,,,,
TBP,eP,c,121018.33,eS,121122.76,57390.0,480.0,L,,,,,,,,,,,,,,,,,,
SNP,eP,d,121020.90,eS,121112.51,9345.0,396.0,L,,,,,,,,,,,,,,,,,,
GLSP,eP,d,121021.61,eS,121057.25,-34745,377,L,,,,,,,,,,,,,,,,,,
DACP,eP,,121021.97,eS,121106.74,38561,464,L,,,,,,,,,,,,,,,,,,
MSLP,eP,c,121022.71,eS,121113.08,1042,357,L,,,,,,,,,,,,,,,,,,
TABP,eP,d,121023.28,eS,121109.07,-31212,388,L,,,,,,,,,,,,,,,,,,
LLP,eP,c,121026.43,eS,121117.09,9679.8,ML=4.8,L,,,,,,,,,,,,,,,,,,
LDIP,eP,c,121026.79,eS,121110.07,,344,L,,,,,,,,,,,,,,,,,,
GNOP,eP,c,121030.11,eS,121119.17,-27130,421,L,,,,,,,,,,,,,,,,,,
CNOP,eP,c,121030.12,eS,121120.89,-31927,393,L,,,,,,,,,,,,,,,,,,
SFCP,eP,c,121030.68,eS,121115.02,,363,L,,,,,,,,,,,,,,,,,,
VKCH,eP,c,121032.11,eS,121124.90,1006,430,L,,,,,,,,,,,,,,,,,,
PLP,eP,d,121036.58,eS,121137.88,,260.00,L,,,,,,,,,,,,,,,,,,
OCLP,eP,c,121037.76,eS,121125.50,,245,L,,,,,,,,,,,,,,,,,,
CADP,eP,c,121038.80,eS,121133.15,-24066,334,L,,,,,,,,,,,,,,,,,,
GUIM,eP,d,121039.59,eS,121140.40,10211,270,L,,,,,,,,,,,,,,,,,,
BESP,eP,c,121043.84,eS,121142.83,,249,L,,,,,,,,,,,,,,,,,,
MECP,eP,c,121044.91,eS,121210.57,-19569,395,T,,,,,,,,,,,,,,,,,,
JAP,eP,c,121048.62,,,497.0,310.15,L,,,,,,,,,,,,,,,,,,
RCP,eP,c,121049.64,,,,,T,,,,,,,,,,,,,,,,,,
BTTP,eP,d,121052.81,eS,121156.60,-7491,267,L,,,,,,,,,,,,,,,,,,
IAPS,eP,d,121058.69,,,,302,L,,,,,,,,,,,,,,,,,,
CNPS,eP,d,121059.09,eS,121208.03,713,309,L,,,,,,,,,,,,,,,,,,
VBIH,eP,c,121103.95,eS,121240.59,,332,T,,,,,,,,,,,,,,,,,,
OTRP,eP,c,121105.41,,,119,251,L,,,,,,,,,,,,,,,,,,
VMAN,eP,c,121111.94,,,,302,L,,,,,,,,,,,,,,,,,,
SJMP,eP,d,121112.19,,,-153,272,L,,,,,,,,,,,,,,,,,,
BUSP,eP,c,121114.79,,,107,195,L,,,,,,,,,,,,,,,,,,
BATP,eP,c,121115.38,eS,121239.53,,247,T,,,,,,,,,,,,,,,,,,
PVCP,eP,c,121115.94,eS,121249.24,,294,T,,,,,,,,,,,,,,,,,,
SCSP,eP,c,121123.34,,,,355,L,,,,,,,,,,,,,,,,,,
GQP,eP,d,121124.06,,,2.39E07,178,L,,,,,,,,,,,,,,,,,,
AUQP,eP,c,121124.17,,,319,,T,,,,,,,,,,,,,,,,,,
JCNP,eP,d,121127.07,,,,265,L,,,,,,,,,,,,,,,,,,
AIQP,eP,c,121129.52,,,,,T,,,,,,,,,,,,,,,,,,
LQP,eP,d,121132.13,,,1189,357.54,L,,,,,,,,,,,,,,,,,,
